,ts,location,wind_sp,wind_deg,pressure,temperature,humidity,cloud_per,rain_amt,weather
0,2025-03-21 22:00:00,Kasetsart University,2.57,3,1014,27.67,46,20,0.0,few clouds
1,2025-03-21 22:30:00,Kasetsart University,4.12,4,1014,29.32,47,20,0.0,few clouds
2,2025-03-21 23:00:00,Kasetsart University,4.12,4,1014,28.33,48,20,0.0,few clouds
3,2025-03-21 23:30:00,Kasetsart University,3.6,4,1014,27.85,50,20,0.0,few clouds
4,2025-03-22 00:00:00,Kasetsart University,4.12,4,1014,27.38,52,20,0.0,few clouds
5,2025-03-22 00:30:00,Kasetsart University,2.06,2,1013,28.35,57,20,0.0,few clouds
6,2025-03-22 01:00:00,Kasetsart University,1.03,1,1013,27.48,62,20,0.0,few clouds
7,2025-03-22 01:30:00,Kasetsart University,1.03,1,1013,27.29,52,20,0.0,few clouds
8,2025-03-22 02:00:00,Kasetsart University,2.06,2,1013,26.99,54,20,0.0,few clouds
9,2025-03-22 02:30:00,Kasetsart University,2.06,2,1013,26.37,64,20,0.0,few clouds
10,2025-03-22 03:00:00,Kasetsart University,2.06,2,1013,26.27,65,20,0.0,few clouds
11,2025-03-22 03:30:00,Kasetsart University,1.54,2,1013,26.48,65,20,0.0,few clouds
12,2025-03-22 04:00:00,Kasetsart University,1.54,2,1013,26.37,65,20,0.0,few clouds
13,2025-03-22 04:30:00,Kasetsart University,1.54,2,1013,26.03,63,20,0.0,few clouds
14,2025-03-22 05:00:00,Kasetsart University,1.03,1,1013,25.94,59,20,0.0,few clouds
15,2025-03-22 05:30:00,Kasetsart University,1.03,1,1014,25.68,68,20,0.0,few clouds
16,2025-03-22 06:00:00,Kasetsart University,2.06,2,1014,24.3,73,20,0.0,few clouds
17,2025-03-22 06:30:00,Kasetsart University,1.03,1,1015,24.12,74,20,0.0,few clouds
18,2025-03-22 07:00:00,Kasetsart University,1.03,1,1015,23.09,68,20,0.0,few clouds
19,2025-03-22 07:30:00,Kasetsart University,1.54,2,1015,23.3,67,20,0.0,few clouds
20,2025-03-22 08:00:00,Kasetsart University,1.03,1,1015,24.97,72,20,0.0,few clouds
21,2025-03-22 08:30:00,Kasetsart University,2.06,2,1016,25.84,66,20,0.0,few clouds
22,2025-03-22 09:00:00,Kasetsart University,3.09,3,1016,26.76,63,89,0.0,overcast clouds
23,2025-03-22 09:30:00,Kasetsart University,3.09,3,1016,27.56,61,64,0.0,broken clouds
24,2025-03-22 10:00:00,Kasetsart University,2.57,3,1016,29.62,67,64,0.0,broken clouds
25,2025-03-22 10:30:00,Kasetsart University,2.57,3,1015,29.51,57,60,0.0,broken clouds
26,2025-03-22 11:00:00,Kasetsart University,2.81,3,1015,31.14,64,60,0.0,broken clouds
27,2025-03-22 11:30:00,Kasetsart University,2.57,3,1014,32.54,54,62,0.0,broken clouds
28,2025-03-22 12:00:00,Kasetsart University,3.6,4,1014,32.72,48,62,0.0,broken clouds
29,2025-03-22 12:30:00,Kasetsart University,3.6,4,1012,33.47,47,63,0.0,broken clouds
30,2025-03-22 13:00:00,Kasetsart University,5.14,5,1012,34.05,47,63,0.0,broken clouds
31,2025-03-22 13:30:00,Kasetsart University,3.6,4,1011,34.24,47,36,0.0,scattered clouds
32,2025-03-22 14:00:00,Kasetsart University,4.12,4,1011,34.49,47,100,0.0,overcast clouds
33,2025-03-22 14:30:00,Kasetsart University,2.85,3,1010,35.2,46,95,0.0,overcast clouds
34,2025-03-22 15:00:00,Kasetsart University,2.85,3,1010,35.4,50,95,0.0,overcast clouds
35,2025-03-22 15:30:00,Kasetsart University,2.44,2,1009,35.52,50,97,0.0,overcast clouds
36,2025-03-22 16:00:00,Kasetsart University,2.06,2,1009,35.04,46,97,0.0,overcast clouds
37,2025-03-22 16:30:00,Kasetsart University,2.35,2,1009,35.58,47,95,0.0,overcast clouds
38,2025-03-22 17:00:00,Kasetsart University,2.35,2,1009,35.83,51,95,0.0,overcast clouds
39,2025-03-22 17:30:00,Kasetsart University,1.64,2,1009,34.9,39,92,0.0,overcast clouds
40,2025-03-22 18:00:00,Kasetsart University,1.64,2,1009,34.66,40,92,0.0,overcast clouds
41,2025-03-22 18:30:00,Kasetsart University,3.09,3,1010,33.79,39,81,0.0,broken clouds
42,2025-03-22 19:00:00,Kasetsart University,2.06,2,1010,33.02,41,81,0.0,broken clouds
43,2025-03-22 19:30:00,Kasetsart University,2.57,3,1011,32.53,42,20,0.0,few clouds
44,2025-03-22 20:00:00,Kasetsart University,2.06,2,1012,31.73,42,20,0.0,few clouds
45,2025-03-22 20:30:00,Kasetsart University,3.09,3,1012,31.41,41,20,0.0,few clouds
46,2025-03-22 21:00:00,Kasetsart University,3.09,3,1012,30.73,44,20,0.0,few clouds
47,2025-03-22 21:30:00,Kasetsart University,3.09,3,1013,31.15,42,20,0.0,few clouds
48,2025-03-22 22:00:00,Kasetsart University,0.0,0,1013,30.4,44,20,0.0,few clouds
49,2025-03-22 22:30:00,Kasetsart University,1.03,1,1013,29.61,49,20,0.0,few clouds
50,2025-03-22 23:00:00,Kasetsart University,2.57,3,1013,29.94,47,20,0.0,few clouds
51,2025-03-22 23:30:00,Kasetsart University,1.03,1,1012,30.3,53,20,0.0,few clouds
52,2025-03-23 00:00:00,Kasetsart University,1.54,2,1012,29.75,53,20,0.0,few clouds
53,2025-03-23 00:30:00,Kasetsart University,2.04,2,1012,31.09,51,32,0.0,scattered clouds
54,2025-03-23 01:00:00,Kasetsart University,1.54,2,1012,29.56,54,20,0.0,few clouds
55,2025-03-23 01:30:00,Kasetsart University,0.51,1,1012,28.85,60,20,0.0,few clouds
56,2025-03-23 02:00:00,Kasetsart University,0.0,0,1012,29.38,55,20,0.0,few clouds
57,2025-03-23 02:30:00,Kasetsart University,0.51,1,1012,28.6,59,20,0.0,few clouds
