ts,location,wind_sp,wind_deg,pressure,temperature,humidity,cloud_per,rain_amt,weather
2025-03-23 13:30:00,Nak Niwat 48,0.29,0,1010,36.16,52,0,0.0,clear sky
2025-03-23 14:00:00,Nak Niwat 48,0.22,0,1010,36.68,51,35,0.0,scattered clouds
2025-03-23 14:30:00,Nak Niwat 48,1.54,2,1009,37.01,44,20,0.0,few clouds
2025-03-23 15:00:00,Nak Niwat 48,2.57,3,1009,36.54,44,20,0.0,few clouds
2025-03-23 15:30:00,Nak Niwat 48,1.54,2,1008,37.04,46,20,0.0,few clouds
2025-03-23 16:00:00,Nak Niwat 48,1.07,1,1008,37.56,49,10,0.0,clear sky
2025-03-23 16:30:00,Nak Niwat 48,1.02,1,1008,36.8,36,8,0.0,clear sky
2025-03-23 17:00:00,Nak Niwat 48,1.02,1,1008,37.13,48,8,0.0,clear sky
2025-03-23 17:30:00,Nak Niwat 48,2.06,2,1008,36.52,44,20,0.0,few clouds
2025-03-23 18:00:00,Nak Niwat 48,1.54,2,1008,35.79,48,20,0.0,few clouds
2025-03-23 18:30:00,Nak Niwat 48,2.57,3,1008,35.33,38,20,0.0,few clouds
2025-03-23 19:00:00,Nak Niwat 48,2.06,2,1008,34.71,42,20,0.0,few clouds
2025-03-23 19:30:00,Nak Niwat 48,5.28,5,1010,34.99,42,100,0.0,overcast clouds
2025-03-23 20:00:00,Nak Niwat 48,3.6,4,1010,32.0,45,20,0.0,few clouds
2025-03-23 20:30:00,Nak Niwat 48,2.57,3,1011,33.56,46,20,0.0,few clouds
2025-03-23 21:00:00,Nak Niwat 48,3.09,3,1011,32.4,40,20,0.0,few clouds
2025-03-23 21:30:00,Nak Niwat 48,2.57,3,1011,32.44,40,20,0.0,few clouds
2025-03-23 22:00:00,Nak Niwat 48,2.57,3,1012,32.22,40,20,0.0,few clouds
2025-03-23 22:30:00,Nak Niwat 48,2.06,2,1012,31.54,43,20,0.0,few clouds
2025-03-23 23:00:00,Nak Niwat 48,2.06,2,1012,30.64,49,20,0.0,few clouds
2025-03-23 23:30:00,Nak Niwat 48,2.06,2,1011,28.83,56,20,0.0,few clouds
2025-03-24 00:00:00,Nak Niwat 48,2.06,2,1011,28.85,57,20,0.0,few clouds
2025-03-24 00:30:00,Nak Niwat 48,3.09,3,1011,28.91,62,20,0.0,few clouds
2025-03-24 01:00:00,Nak Niwat 48,3.09,3,1011,28.91,63,20,0.0,few clouds
2025-03-24 01:30:00,Nak Niwat 48,3.09,3,1010,28.91,66,20,0.0,few clouds
2025-03-24 02:00:00,Nak Niwat 48,3.09,3,1010,28.85,67,20,0.0,few clouds
2025-03-24 02:30:00,Nak Niwat 48,2.57,3,1010,27.96,74,20,0.0,few clouds
2025-03-24 03:00:00,Nak Niwat 48,2.57,3,1010,28.52,84,20,0.0,few clouds
2025-03-24 03:30:00,Nak Niwat 48,2.57,3,1010,28.23,85,20,0.0,few clouds
2025-03-24 04:00:00,Nak Niwat 48,2.57,3,1010,27.25,87,20,0.0,mist
2025-03-24 04:30:00,Nak Niwat 48,2.06,2,1010,27.2,88,20,0.0,mist
2025-03-24 05:00:00,Nak Niwat 48,2.06,2,1010,27.08,88,20,0.0,mist
2025-03-24 05:30:00,Nak Niwat 48,1.54,2,1010,27.08,88,20,0.0,mist
2025-03-24 06:00:00,Nak Niwat 48,1.54,2,1010,26.21,92,20,0.0,mist
2025-03-24 06:30:00,Nak Niwat 48,1.54,2,1011,27.04,89,20,0.0,mist
2025-03-24 07:00:00,Nak Niwat 48,2.57,3,1011,26.27,96,20,0.0,mist
2025-03-24 07:30:00,Nak Niwat 48,2.06,2,1012,26.28,93,20,0.0,mist
2025-03-24 08:00:00,Nak Niwat 48,3.6,4,1012,29.24,87,20,0.0,mist
2025-03-24 08:30:00,Nak Niwat 48,2.57,3,1013,30.14,79,20,0.0,mist
2025-03-24 09:00:00,Nak Niwat 48,2.57,3,1013,31.41,70,20,0.0,haze
2025-03-24 09:30:00,Nak Niwat 48,3.09,3,1012,31.57,76,20,0.0,haze
2025-03-24 10:00:00,Nak Niwat 48,2.57,3,1012,32.4,65,20,0.0,haze
2025-03-24 10:30:00,Nak Niwat 48,2.06,2,1012,31.8,68,20,0.0,haze
2025-03-24 11:00:00,Nak Niwat 48,1.03,1,1012,32.88,61,20,0.0,haze
2025-03-24 11:30:00,Nak Niwat 48,1.03,1,1011,34.89,56,20,0.0,few clouds
2025-03-24 12:00:00,Nak Niwat 48,1.54,2,1011,35.04,56,20,0.0,few clouds
2025-03-24 12:30:00,Nak Niwat 48,2.06,2,1009,35.65,55,20,0.0,few clouds
2025-03-24 13:00:00,Nak Niwat 48,1.54,2,1009,36.42,51,20,0.0,few clouds
2025-03-24 13:30:00,Nak Niwat 48,1.54,2,1008,36.84,51,20,0.0,few clouds
2025-03-24 14:00:00,Nak Niwat 48,2.57,3,1008,36.4,52,20,0.0,few clouds
2025-03-24 14:30:00,Nak Niwat 48,2.06,2,1007,36.87,51,20,0.0,few clouds
2025-03-24 15:00:00,Nak Niwat 48,3.6,4,1007,36.52,50,20,0.0,few clouds
2025-03-24 15:30:00,Nak Niwat 48,2.57,3,1006,36.53,54,20,0.0,few clouds
2025-03-24 16:00:00,Nak Niwat 48,4.63,5,1006,36.3,52,20,0.0,few clouds
2025-03-24 16:30:00,Nak Niwat 48,5.14,5,1006,35.93,54,20,0.0,few clouds
2025-03-24 17:00:00,Nak Niwat 48,5.14,5,1006,35.83,54,20,0.0,few clouds
2025-03-24 17:30:00,Nak Niwat 48,4.63,5,1006,35.34,45,20,0.0,few clouds
2025-03-24 18:00:00,Nak Niwat 48,4.63,5,1006,34.94,46,20,0.0,few clouds
2025-03-24 18:30:00,Nak Niwat 48,3.6,4,1007,34.4,47,20,0.0,few clouds
2025-03-24 19:00:00,Nak Niwat 48,3.6,4,1007,32.05,48,20,0.0,few clouds
2025-03-24 19:30:00,Nak Niwat 48,3.6,4,1007,31.95,49,20,0.0,few clouds
2025-03-24 20:00:00,Nak Niwat 48,4.12,4,1008,32.55,59,20,0.0,few clouds
2025-03-24 20:30:00,Nak Niwat 48,3.6,4,1008,30.93,57,20,0.0,few clouds
2025-03-24 21:00:00,Nak Niwat 48,4.63,5,1008,30.01,66,20,0.0,few clouds
2025-03-24 21:30:00,Nak Niwat 48,4.63,5,1008,29.92,70,20,0.0,few clouds
2025-03-24 22:00:00,Nak Niwat 48,3.6,4,1008,29.03,73,20,0.0,few clouds
2025-03-24 22:30:00,Nak Niwat 48,4.12,4,1008,29.92,68,20,0.0,few clouds
2025-03-24 23:00:00,Nak Niwat 48,4.12,4,1008,28.97,74,20,0.0,few clouds
2025-03-24 23:30:00,Nak Niwat 48,4.63,5,1008,28.97,74,20,0.0,few clouds
2025-03-25 00:00:00,Nak Niwat 48,4.12,4,1008,28.97,75,20,0.0,few clouds
2025-03-25 00:30:00,Nak Niwat 48,4.63,5,1008,28.91,75,20,0.0,few clouds
2025-03-25 01:00:00,Nak Niwat 48,5.14,5,1008,28.91,79,20,0.0,few clouds
2025-03-25 01:30:00,Nak Niwat 48,4.12,4,1008,28.02,82,20,0.0,few clouds
2025-03-25 02:00:00,Nak Niwat 48,2.57,3,1008,28.57,87,20,0.0,few clouds
2025-03-25 02:30:00,Nak Niwat 48,2.57,3,1008,27.7,90,20,0.0,few clouds
2025-03-25 03:00:00,Nak Niwat 48,3.09,3,1008,28.37,85,20,0.0,few clouds
2025-03-25 03:30:00,Nak Niwat 48,2.57,3,1007,28.28,88,20,0.0,few clouds
2025-03-25 04:00:00,Nak Niwat 48,2.57,3,1007,28.28,88,20,0.0,few clouds
